Epoch 920/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 930/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 940/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 950/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 960/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 970/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 980/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 990/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1000/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1010/100000, Disc Loss: 0.66, Gen Loss: 0.77 
Epoch 1020/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1030/100000, Disc Loss: 0.68, Gen Loss: 0.72 
Epoch 1040/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1050/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1060/100000, Disc Loss: 0.67, Gen Loss: 0.73 
Epoch 1070/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1080/100000, Disc Loss: 0.66, Gen Loss: 0.77 
Epoch 1090/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1100/100000, Disc Loss: 0.66, Gen Loss: 0.76 
Epoch 1110/100000, Disc Loss: 0.67, Gen Loss: 0.75 
Epoch 1120/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1130/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1140/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1150/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1160/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1170/100000, Disc Loss: 0.67, Gen Loss: 0.77 
Epoch 1180/100000, Disc Loss: 0.66, Gen Loss: 0.78 
Epoch 1190/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1200/100000, Disc Loss: 0.68, Gen Loss: 0.74 
Epoch 1210/100000, Disc Loss: 0.66, Gen Loss: 0.77 
Epoch 1220/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1230/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1240/100000, Disc Loss: 0.68, Gen Loss: 0.73 
Epoch 1250/100000, Disc Loss: 0.67, Gen Loss: 0.74 
Epoch 1260/100000, Disc Loss: 0.67, Gen Loss: 0.74 
